transit_timestamp,station_complex_id,station_complex,borough,ridership,transfers,latitude,longitude,hour,day_of_week,month,is_weekend,congestion_level
2024-09-02 05:00:00,167,"W 4 St-Wash Sq (A,C,E,B,D,F,M)",Manhattan,35.0,0,40.732338,-74.000496,5,0,9,0,Low
2024-09-02 05:00:00,407,Astor Pl (6),Manhattan,25.0,0,40.730053,-73.99107,5,0,9,0,Low
2024-09-02 05:00:00,619,"Broadway-Lafayette St (B,D,F,M)/Bleecker St (6)",Manhattan,18.0,0,40.725296,-73.9962,5,0,9,0,Low
2024-09-02 06:00:00,16,"8 St-NYU (R,W)",Manhattan,23.0,0,40.730328,-73.99263,6,0,9,0,Low
2024-09-02 06:00:00,167,"W 4 St-Wash Sq (A,C,E,B,D,F,M)",Manhattan,80.0,1,40.732338,-74.000496,6,0,9,0,Low
2024-09-02 06:00:00,407,Astor Pl (6),Manhattan,33.0,0,40.730053,-73.99107,6,0,9,0,Low
2024-09-02 06:00:00,619,"Broadway-Lafayette St (B,D,F,M)/Bleecker St (6)",Manhattan,59.0,0,40.725914,-73.99466,6,0,9,0,Low
2024-09-02 07:00:00,16,"8 St-NYU (R,W)",Manhattan,41.0,1,40.730328,-73.99263,7,0,9,0,Low
2024-09-02 07:00:00,167,"W 4 St-Wash Sq (A,C,E,B,D,F,M)",Manhattan,135.0,1,40.732338,-74.000496,7,0,9,0,Low
2024-09-02 07:00:00,407,Astor Pl (6),Manhattan,38.0,0,40.730053,-73.99107,7,0,9,0,Low
2024-09-02 07:00:00,619,"Broadway-Lafayette St (B,D,F,M)/Bleecker St (6)",Manhattan,99.0,1,40.725914,-73.99466,7,0,9,0,Low
2024-09-02 08:00:00,16,"8 St-NYU (R,W)",Manhattan,86.0,1,40.730328,-73.99263,8,0,9,0,Low
2024-09-02 08:00:00,167,"W 4 St-Wash Sq (A,C,E,B,D,F,M)",Manhattan,224.0,3,40.732338,-74.000496,8,0,9,0,Low
